1500,15000,20000
73,89,428
40,99,347
16,123,1004
47,91,101
39,57,579
41,12,1253
95,36,749
31,110,204
84,126,118
1,68,1262
1,90,1154
78,83,1043
91,61,1074
65,51,733
45,41,1060
46,130,1408
40,66,1139
49,37,1352
73,30,385
44,126,484
31,127,1373
84,7,542
40,84,651
71,77,109
41,40,218
78,111,833
38,32,1130
32,18,1214
46,31,81
7,87,666
60,38,464
15,17,1388
63,68,808
62,5,839
94,39,339
5,30,925
52,111,65
55,38,511
26,71,1178
29,2,159
60,68,829
84,102,429
20,29,1149
97,35,1058
9,91,128
7,23,919
86,61,193
65,56,262
84,100,965
90,4,922
52,16,857
1,123,52
4,47,1339
36,49,612
83,32,660
36,15,1475
9,110,1110
62,31,867
69,57,1249
38,121,1282
87,32,114
11,22,614
4,88,294
21,43,1472
23,16,573
94,112,567
31,58,1483
57,64,605
49,123,1135
63,80,1474
83,130,970
79,103,354
76,95,1050
98,27,10
74,56,1023
59,20,214
19,5,722
29,19,35
43,53,736
50,128,205
37,42,651
28,52,952
83,61,674
78,107,308
48,28,907
94,3,127
38,126,271
2,37,270
5,28,1323
54,122,972
92,71,189
26,75,1222
83,97,1331
55,15,670
97,124,1236
38,128,265
73,80,214
90,59,857
52,11,539
80,10,1283
30,43,1471
21,103,1133
42,3,1404
64,41,689
95,9,717
50,14,129
60,104,648
95,46,1229
72,23,930
28,100,808
4,119,686
88,9,177
95,122,598
69,62,1283
83,13,926
51,95,1320
99,15,982
37,52,1408
7,127,1418
1,110,102
46,101,1300
30,51,1266
39,100,1421
90,54,1072
54,1,774
76,17,868
34,98,354
2,118,1376
32,22,725
65,92,769
73,131,1072
43,22,42
58,103,664
38,55,151
71,40,46
55,24,392
66,6,1494
35,7,31
53,124,452
72,39,1368
82,35,1140
36,89,634
65,13,521
78,107,544
26,55,508
78,60,878
5,30,359
3,66,125
56,90,278
10,67,1164
37,89,1120
18,26,799
73,100,982
82,31,1105
78,104,1413
93,35,36
1,76,1048
38,122,580
62,69,1349
48,60,1188
87,72,139
9,117,863
13,51,682
5,78,836
52,96,1368
51,54,1476
14,22,56
1,78,1316
54,117,477
17,71,436
37,90,1061
90,82,220
79,8,526
56,98,1364
42,37,67
3,94,10
55,45,268
85,77,1338
37,107,1128
55,76,897
79,39,385
3,53,329
17,24,1105
60,54,374
27,124,171
57,32,1448
62,3,182
32,111,1398
76,54,897
41,34,251
37,72,64
76,120,1242
21,6,773
90,24,363
25,45,197
79,39,1224
13,47,656
42,53,381
70,75,1113
82,48,1472
99,8,1384
33,42,1085
83,38,540
26,103,635
58,24,782
6,41,1285
97,57,2
41,107,414
42,91,1245
51,63,1124
1,43,938
60,132,967
61,75,202
68,89,1083
1,14,506
35,4,219
35,121,615
80,38,1063
74,86,483
77,39,1217
56,104,1366
18,77,795
48,55,180
63,59,1032
4,131,1246
99,14,711
82,86,369
86,62,939
70,126,20
14,83,695
81,82,1154
39,86,937
32,59,40
83,119,47
88,65,362
51,126,1183
55,41,714
70,21,572
99,42,1391
47,63,751
74,101,1409
18,97,559
80,70,256
23,87,70
17,37,259
60,35,1198
98,70,1384
22,12,19
24,121,1016
65,37,2
99,40,545
99,23,837
54,120,1073
95,38,359
3,22,958
65,96,656
56,22,1268
4,94,1153
40,114,491
93,54,291
47,126,868
98,50,1326
41,100,342
32,87,1213
15,81,52
64,128,308
79,131,443
75,67,417
96,66,486
82,121,1007
61,80,184
78,77,944
34,94,1352
42,117,1317
94,87,1165
85,86,1375
21,73,673
95,107,1061
87,75,995
19,27,399
4,71,759
83,26,911
69,35,330
38,16,1016
38,99,564
43,103,748
27,36,1429
93,106,1060
26,26,879
40,13,1265
64,11,740
45,132,1237
79,8,937
38,5,897
7,90,956
49,111,564
21,8,52
42,105,1313
71,22,217
30,90,1413
41,95,503
69,109,381
90,7,1436
19,92,585
77,20,1407
52,78,214
60,94,1036
84,93,205
82,97,1154
4,113,1274
32,2,454
18,120,504
98,55,1413
60,90,1466
52,128,167
1,3,1375
3,98,441
44,125,1164
58,4,962
99,130,1458
55,15,1152
24,103,962
12,5,433
58,75,55
84,49,994
28,81,127
55,75,1409
64,44,223
75,82,1123
76,103,1462
41,93,1142
38,1,1148
97,15,545
93,27,1188
61,67,767
85,76,304
70,75,112
86,41,72
21,33,709
36,98,51
1,119,86
67,83,382
17,80,1073
81,121,724
26,93,1422
87,125,1215
73,60,551
4,76,210
34,105,1099
71,69,767
5,44,1320
89,71,305
83,21,281
16,22,769
61,64,111
73,72,435
35,113,1468
52,118,1321
27,26,1245
98,91,263
81,95,1351
84,69,898
1,13,717
19,117,1410
53,78,838
95,15,1135
2,57,1476
42,107,1281
9,4,193
89,35,319
82,99,274
21,17,174
50,71,680
71,121,963
64,117,1000
38,121,1241
31,34,285
94,131,87
69,127,547
24,69,12
65,21,1430
37,66,695
20,109,640
28,129,1168
67,16,665
23,80,617
63,27,1457
78,45,694
44,26,1199
85,119,381
2,65,468
96,117,592
12,1,421
86,40,51
87,76,1300
18,41,903
48,17,1250
80,116,554
23,39,83
56,71,1074
62,122,537
46,23,1011
24,65,833
90,82,1172
71,45,299
92,26,70
8,110,1166
27,73,172
34,10,1152
22,5,840
70,92,167
39,46,708
85,99,1012
87,101,627
41,12,603
52,23,1339
72,43,452
86,74,1057
56,3,472
77,109,478
74,52,1186
90,37,1037
10,22,1433
96,126,166
53,31,956
12,22,554
48,19,647
76,113,1397
47,21,67
11,55,888
62,10,456
22,105,1280
43,38,1110
23,103,285
4,126,1109
19,16,791
97,29,52
46,89,388
48,23,1352
26,55,336
84,37,163
12,37,569
42,59,1085
15,47,972
33,78,980
59,117,1246
1,47,738
52,112,1188
3,24,829
88,25,1122
16,6,350
71,49,38
40,22,548
37,13,446
50,66,740
84,29,588
8,89,489
73,11,189
67,51,796
8,29,244
46,47,1268
18,61,763
85,94,24
1,62,756
90,118,796
26,98,515
14,51,613
27,127,82
33,96,388
92,9,159
23,121,616
79,75,1056
84,54,35
94,11,590
4,9,410
84,22,597
58,9,717
50,96,1426
27,15,1418
51,34,830
36,56,514
56,47,1298
50,84,639
1,34,1462
24,62,837
84,76,1085
34,4,628
10,39,1132
10,56,1467
74,114,426
88,53,1026
57,90,1488
54,57,767
92,43,1202
82,109,1340
57,16,1483
58,29,1043
69,81,642
23,57,1420
58,127,529
62,73,381
80,81,497
45,50,257
29,100,180
72,94,889
1,99,504
80,59,1337
24,113,214
36,100,1278
99,65,790
27,53,1459
30,81,361
83,4,1319
49,47,467
58,108,1486
42,27,803
87,9,428
25,5,1384
52,65,280
13,47,868
69,112,284
94,131,143
88,111,1127
19,104,240
88,88,463
58,40,450
38,25,1286
24,73,808
61,61,230
37,14,289
99,1,23
92,81,1004
68,79,761
91,67,232
13,112,959
76,111,947
36,106,495
30,27,537
81,94,760
50,43,898
9,48,719
62,18,1168
64,110,531
66,73,662
26,5,721
2,16,372
3,73,1271
96,27,773
8,21,930
98,83,904
29,123,135
18,113,325
22,23,1032
4,73,1440
3,60,1261
55,38,860
22,20,1340
77,15,253
72,81,976
62,83,174
71,30,747
34,86,1264
69,16,1332
71,18,49
40,92,878
97,59,1193
32,48,974
63,81,601
70,132,1011
69,111,188
49,30,1167
59,55,1042
18,19,171
18,119,1302
10,92,675
16,12,947
39,1,235
5,28,1001
22,77,510
42,10,1322
87,132,1307
26,83,244
5,117,463
34,57,799
90,12,1263
10,29,1122
95,129,278
69,75,1105
5,130,1049
27,70,1126
76,55,1301
94,22,667
63,62,1388
65,3,1315
14,5,878
15,91,603
88,21,1068
6,67,505
45,108,351
50,123,1219
52,5,445
98,2,947
80,53,1275
74,89,460
61,21,1448
61,111,236
85,69,277
88,111,535
76,35,713
80,14,375
23,69,1143
64,125,872
29,121,1097
99,97,142
60,80,563
92,61,117
61,26,713
87,106,946
9,72,1032
61,108,1031
81,42,162
14,96,432
51,54,1283
77,55,583
23,71,653
95,127,968
93,129,356
88,90,225
19,48,1358
98,131,289
10,130,705
67,10,512
96,113,359
64,5,146
32,50,663
88,14,664
22,42,1027
35,92,677
4,39,1471
1,48,894
4,104,636
29,64,825
74,33,66
81,37,660
1,36,327
89,101,1000
29,118,272
65,86,417
35,61,756
12,64,129
45,92,331
94,83,995
8,36,284
3,8,1271
37,69,360
35,53,188
21,30,415
58,86,164
47,117,246
72,94,785
31,33,355
83,40,1447
62,4,1043
61,58,725
57,93,1496
40,102,193
4,38,473
79,83,572
62,61,642
90,50,849
92,120,929
93,100,98
26,103,1353
11,29,43
19,13,655
13,11,340
8,13,387
86,40,5
91,116,783
43,56,442
70,83,841
44,43,1276
39,87,654
69,117,1071
21,77,285
5,47,840
77,27,327
85,1,1461
97,26,493
64,15,654
30,65,1146
22,97,1179
14,25,805
38,66,657
75,58,957
17,72,1081
81,47,1496
77,27,1102
85,48,976
41,38,1281
27,71,67
92,34,540
21,21,1385
76,11,893
48,21,276
64,83,603
29,33,589
20,49,1421
55,43,1485
43,20,1266
17,79,701
15,31,409
91,31,1075
4,3,1289
26,15,315
76,113,1055
93,67,361
89,88,623
3,75,1358
1,130,774
6,124,1254
20,19,1204
2,30,1425
34,101,432
48,20,1068
33,105,744
34,104,431
30,132,265
3,13,745
29,69,1367
15,126,1154
36,44,1496
84,70,333
33,91,1213
3,116,778
12,91,1145
61,55,664
69,34,326
72,26,1338
12,83,618
63,100,1043
9,23,222
69,130,85
66,30,319
14,61,1229
8,47,84
31,17,1382
76,122,1063
